,Attribute,Description,Valid Values,DependsOn,Properties,Required,Parent,DependsOn Component,Source,Validation Rules,Module,Type,Ontology
377,IEDB,,,,,False,ValidValue,,,,Unspecified,,
378,ITRAQ,,,,,False,ValidValue,,,,Unspecified,,
379,ImmPort,,,,,False,ValidValue,,,,Unspecified,,
380,Infinium HumanOmniExpressExome,,,,,False,ValidValue,,,,Unspecified,,
381,Inguinal lymph node,,,,,False,ValidValue,,,,Unspecified,,
382,Jejunum,,,,,False,ValidValue,,,,Unspecified,,
383,Juvenile,,,,,False,ValidValue,,,,Unspecified,,
384,K,,,,,False,ValidValue,,,,Unspecified,,
385,Kallikrein Inactivator Unit per Milliliter,,,,,False,ValidValue,,,,Unspecified,,
386,KapaHyperPrep,,,,,False,ValidValue,,,,Unspecified,,
387,Kidney,,,,,False,ValidValue,,,,Unspecified,,
388,LC-MS,,,,,False,ValidValue,,,,Unspecified,,
389,LC-MSMS,,,,,False,ValidValue,,,,Unspecified,,
390,LC-SRMOtherMsAssayTechnique,,,,,False,ValidValue,,,,Unspecified,,
391,LI-COR Odyssey CLx,,,,,False,ValidValue,,,,Unspecified,,
392,LTQ Orbitrap XL,,,,,False,ValidValue,,,,Unspecified,,
393,Label Free,,,,,False,ValidValue,,,,Unspecified,,
394,Leukocytes,,,,,False,ValidValue,,,,Unspecified,,
395,LifeViz Infinity System,,,,,False,ValidValue,,,,Unspecified,,
396,LifeViz Micro System,,,,,False,ValidValue,,,,Unspecified,,
397,Lipid,,,,,False,ValidValue,,,,Unspecified,,
398,Liver,,,,,False,ValidValue,,,,Unspecified,,
399,Lung,,,,,False,ValidValue,,,,Unspecified,,
400,Lung lymph node,,,,,False,ValidValue,,,,Unspecified,,
401,Lymph node,,,,,False,ValidValue,,,,Unspecified,,
402,Lymphocyte,,,,,False,ValidValue,,,,Unspecified,,
403,MDMS-SL,,,,,False,ValidValue,,,,Unspecified,,
404,MGnify,,,,,False,ValidValue,,,,Unspecified,,
405,MIB-MS,,,,,False,ValidValue,,,,Unspecified,,
406,MOI,,,,,False,ValidValue,,,,Unspecified,,
407,MONDO,,,,,False,ValidValue,,,,Unspecified,,
408,MULTIseq,,,,,False,ValidValue,,,,Unspecified,,
409,Macrophage,,,,,False,ValidValue,,,,Unspecified,,
410,Male,,,,,False,ValidValue,,,,Unspecified,,
411,Mammal,,,,,False,ValidValue,,,,Unspecified,,
412,MassBank of North America (MoNA),,,,,False,ValidValue,,,,Unspecified,,
413,MassIVE,,,,,False,ValidValue,,,,Unspecified,,
414,Mesenteric lymph node,,,,,False,ValidValue,,,,Unspecified,,
415,MetaboLights,,,,,False,ValidValue,,,,Unspecified,,
416,Metabolomics Workbench,,,,,False,ValidValue,,,,Unspecified,,
417,Metlin,,,,,False,ValidValue,,,,Unspecified,,
418,Minutes,,,,,False,ValidValue,,,,Unspecified,,
419,Monocyte,,,,,False,ValidValue,,,,Unspecified,,
420,Mouse Ear,,,,,False,ValidValue,,,,Unspecified,,
421,NCBI Gene,,,,,False,ValidValue,,,,Unspecified,,
422,NEBNext,,,,,False,ValidValue,,,,Unspecified,,
423,NIST SRM 1950,,,,,False,ValidValue,,,,Unspecified,,
424,NIST17,,,,,False,ValidValue,,,,Unspecified,,
425,NK cell,,,,,False,ValidValue,,,,Unspecified,,
426,NPX,,,,,False,ValidValue,,,,Unspecified,,
427,NY,,,,,False,ValidValue,,,,Unspecified,,
428,Nanostring Counter,,,,,False,ValidValue,,,,Unspecified,,
429,Nanostring GeoMx,,,,,False,ValidValue,,,,Unspecified,,
430,Nasal Swab,,,,,False,ValidValue,,,,Unspecified,,
431,Nasal Swab or Nose Specimen,,,,,False,ValidValue,,,,Unspecified,,
432,Nasal lavage fluid,,,,,False,ValidValue,,,,Unspecified,,
433,Nasopharyngeal Swab Specimen,,,,,False,ValidValue,,,,Unspecified,,
434,Negative,,,,,False,ValidValue,,,,Unspecified,,
435,Negative Control,,,,,False,ValidValue,,,,Unspecified,,
436,Neutrophil,,,,,False,ValidValue,,,,Unspecified,,
437,NexteraXT,,,,,False,ValidValue,,,,Unspecified,,
438,Olympus DP80,,,,,False,ValidValue,,,,Unspecified,,
439,Omni-ATAC,,,,,False,ValidValue,,,,Unspecified,,
440,Optic Nerve,,,,,False,ValidValue,,,,Unspecified,,
441,Orbitrap Fusion,,,,,False,ValidValue,,,,Unspecified,,
442,Orbitrap Fusion Lumos,,,,,False,ValidValue,,,,Unspecified,,
443,Orbitrap Fusion Lumos Tribrid,,,,,False,ValidValue,,,,Unspecified,,
444,Organoids,,,,,False,ValidValue,,,,Unspecified,,
445,Oropharyngeal Swab Specimen,,,,,False,ValidValue,,,,Unspecified,,
446,Osteoblasts,,,,,False,ValidValue,,,,Unspecified,,
447,PBL,,,,,False,ValidValue,,,,Unspecified,,
448,PBMC,,,,,False,ValidValue,,,,Unspecified,,
449,PCRfree,,,,,False,ValidValue,,,,Unspecified,,
450,PFU,,,,,False,ValidValue,,,,Unspecified,,
451,PFUe,,,,,False,ValidValue,,,,Unspecified,,
452,PRIDE,,,,,False,ValidValue,,,,Unspecified,,
453,PT,,,,,False,ValidValue,,,,Unspecified,,
454,PacBio RS II,,,,,False,ValidValue,,,,Unspecified,,
455,PacBio Sequel II System,,,,,False,ValidValue,,,,Unspecified,,
456,PacBio Sequel IIe System,,,,,False,ValidValue,,,,Unspecified,,
457,Pancreas,,,,,False,ValidValue,,,,Unspecified,,
458,Pancreatic Stellate Cells,,,,,False,ValidValue,,,,Unspecified,,
459,Perlegen 300Karray,,,,,False,ValidValue,,,,Unspecified,,
460,Placenta,,,,,False,ValidValue,,,,Unspecified,,
461,Plasma,,,,,False,ValidValue,,,,Unspecified,,
462,Pooled Sample,,,,,False,ValidValue,,,,Unspecified,,
463,Popliteal lymph node,,,,,False,ValidValue,,,,Unspecified,,
464,Positive,,,,,False,ValidValue,,,,Unspecified,,
465,Positive Control,,,,,False,ValidValue,,,,Unspecified,,
466,Post-Juvenile,,,,,False,ValidValue,,,,Unspecified,,
467,Pound,,,,,False,ValidValue,,,,Unspecified,,
468,Prefer not to answer,,,,,False,ValidValue,,,,Unspecified,,
469,Primate,,,,,False,ValidValue,,,,Unspecified,,
470,Promega GloMax Discover,,,,,False,ValidValue,,,,Unspecified,,
471,Protein,,,,,False,ValidValue,,,,Unspecified,,
472,Q Exactive,,,,,False,ValidValue,,,,Unspecified,,
473,Q Exactive HF,,,,,False,ValidValue,,,,Unspecified,,
474,Q Exactive HF-X,,,,,False,ValidValue,,,,Unspecified,,
475,Q Exactive Plus,,,,,False,ValidValue,,,,Unspecified,,
476,Q Exative HF,,,,,False,ValidValue,,,,Unspecified,,
477,RPKM,,,,,False,ValidValue,,,,Unspecified,,
478,Rectal Swab Specimen,,,,,False,ValidValue,,,,Unspecified,,
479,SILAC,,,,,False,ValidValue,,,,Unspecified,,
480,SMRTbell,,,,,False,ValidValue,,,,Unspecified,,
481,SPLITseq,,,,,False,ValidValue,,,,Unspecified,,
482,SRA,,,,,False,ValidValue,,,,Unspecified,,
483,STARRSeq,,,,,False,ValidValue,,,,Unspecified,,
484,Saliva,,,,,False,ValidValue,,,,Unspecified,,
485,Seconds,,,,,False,ValidValue,,,,Unspecified,,
486,Serum,,,,,False,ValidValue,,,,Unspecified,,
487,Smart-seq1,,,,,False,ValidValue,,,,Unspecified,,
488,Smart-seq2,,,,,False,ValidValue,,,,Unspecified,,
489,Smart-seq4,,,,,False,ValidValue,,,,Unspecified,,
490,Spectramax M Series,,,,,False,ValidValue,,,,Unspecified,,
491,Sputum,,,,,False,ValidValue,,,,Unspecified,,
492,Stranded,,,,,False,ValidValue,,,,Unspecified,,
493,Study of Osteoporotic Fractures (SOF),,,,,False,ValidValue,,,,Unspecified,,
494,SureCell,,,,,False,ValidValue,,,,Unspecified,,
495,Synovial fluid,,,,,False,ValidValue,,,,Unspecified,,
496,Synovial tissue,,,,,False,ValidValue,,,,Unspecified,,
497,T cell,,,,,False,ValidValue,,,,Unspecified,,
498,TCID50,,,,,False,ValidValue,,,,Unspecified,,
499,TMT,,,,,False,ValidValue,,,,Unspecified,,
500,TPM,,,,,False,ValidValue,,,,Unspecified,,
501,TRUE,Indicate the disease or condition.,,,,False,ValidValue,,LLFS data dictionary,,Unspecified,,
502,Targeted Absolute Quantitation,,,,,False,ValidValue,,,,Unspecified,,
503,TargetedMsTarget,the type of biospecimen subjected to analysis,"Protein,metabolite,Lipid,Other,Unknown,Not collected,Not applicable,Not Specified",msAnalyteType,,False,ValidValue,,http://purl.obolibrary.org/obo/NCIT_C156434,,Unspecified,,
504,The Health,,,,,False,ValidValue,,,,Unspecified,,
505,The Osteoporotic Fractures in Men (MrOS) Study,,,,,False,ValidValue,,,,Unspecified,,
506,Tonsil,,,,,False,ValidValue,,,,Unspecified,,
507,TruSeq,,,,,False,ValidValue,,,,Unspecified,,
508,TruSeqOtherLibraryPreparationMethod,,,,,False,ValidValue,,,,Unspecified,,
509,UPLC-ESI-QTOF-MS,,,,,False,ValidValue,,,,Unspecified,,
510,UPLC-MSMS,,,,,False,ValidValue,,,,Unspecified,,
511,US Family,,,,,False,ValidValue,,,,Unspecified,,
512,Ultralow Methyl-Seq,,,,,False,ValidValue,,,,Unspecified,,
513,Umbilical cord blood,,,,,False,ValidValue,,,,Unspecified,,
514,UnTargetedMsTarget,,,,,False,ValidValue,,,,Unspecified,,
515,UnTargetedMsTargetUnknown,,,,,False,ValidValue,,,,Unspecified,,
516,UniProt,,,,,False,ValidValue,,,,Unspecified,,
517,Unknown,,,,,False,ValidValue,,,,Unspecified,,
518,Vectra H1 3D Imaging System,,,,,False,ValidValue,,,,Unspecified,,
519,Vevo 3100 Imaging System,,,,,False,ValidValue,,,,Unspecified,,
520,Weeks,,,,,False,ValidValue,,,,Unspecified,,
521,White,,,,,False,ValidValue,,,,Unspecified,,
522,Wild,,,,,False,ValidValue,,,,Unspecified,,
523,Xevo G2 QTOF,,,,,False,ValidValue,,,,Unspecified,,
524,Xevo TQ-S,,,,,False,ValidValue,,,,Unspecified,,
525,Years,,,,,False,ValidValue,,,,Unspecified,,
526,YesHasAssayControl,Control samples suitable for normalization and batch correction,"GIS,GoldenWest,NIST SRM 1950,AIBL pool,Baker pool,water plus Baker ISTD,study pool,internal standards,Other,Unknown,Not collected,Not applicable,Not Specified",controlType,,False,ValidValue,,https://doi.org/10.1101/2020.05.19.105197https://doi.org/10.1038/sdata.2017.140https://www-s.nist.gov/srmors/view_detail.cfmsrm=1950Sage BionetworksDSLWG,,Unspecified,,
527,YesHasIonizationSource,Ion charge state (positive or negative-ion analysis),"Positive,Negative",ionProperty,,False,ValidValue,,"Proposed minimum metadata relative to mass spectrometry ,Sage Bionetworks",,Unspecified,,
528,YesUseReagent,"One or more identifiers, separated by a semicolon (;). The reagent identifier(s) must be stored in a data dictionary .csv file uploaded to Synapse",,reagentID(s),,False,ValidValue,,"ImmPort,Sage Bionetworks",,Unspecified,,
529,YesUseTreatment,"One or more identifiers, separated by a semicolon (;). The treatment identifier(s) must be stored in a data dictionary .csv file uploaded to Synapse",,treatmentID(s),,False,ValidValue,,"ImmPort,Sage Bionetworks",,Unspecified,,
530,Zeiss LSM 980,,,,,False,ValidValue,,,,Unspecified,,
531,acquisitionMode,"The specific aspect of a mass spectrometer method by which mass ranges are selected and possibly dissociated (full scan, MSn, SIM, MRM, etc.).","Unknown,Not collected,Not applicable,Not Specified",,,True,DataProperty,,https://www.ebi.ac.uk/ols/ontologies/ms/termsiri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FMS_1003213,,Unspecified,,
532,acquisitionSoftware,The name of the acquisition software used,"Unknown,Not collected,Not applicable,Not Specified",,,True,DataProperty,,http://purl.obolibrary.org/obo/MS_1001455,,Unspecified,,
533,acquistionSoftwareVersion,The version number of software used,,,,True,DataProperty,,Sage Bionetworks,regex search ([0-9]+\.[0-9]*.)|([0-9]+),Unspecified,,
534,amplicon,,,,,False,ValidValue,,,,Unspecified,,
535,and Body Composition Study (HealthABC),,,,,False,ValidValue,,,,Unspecified,,
536,batchSize,The number of samples,,,,False,DataProperty,,Sage Bionetworks,regex search ([0-9]+\.[0-9]*.)|([0-9]+),Unspecified,,
537,batchSizeUnit,The unit of measurement for number of samples in a batch,"AFU,AI,AU/ml,DK units/ml,bpg/dl,g/l,gm,HAU,IU,iu/l,IU/ml,Kallikrein Inactivator Unit per Milliliter,kg,l,M,mg,mg/dl,mg/l,mg/ml,miu/ml,ml,mM,MOI,ng,ng/dl,ng/ml,ng/nl,ng/ul,nl,nM,Not Specified,NPX,optical density,PFU,PFUe,pg,pg/mg creatinine,pg/ml,pg/nl,pg/ul,pl,pM,Pound,TCID50,ug,ug/dl,ug/l,ug/ml,ug/ul,uiu/ml,ul,uM,umol/l,units/ml,OtherBatchSizeUnit",,,False,DataProperty,,Sage Bionetworks,,Unspecified,,
538,bulk cell,,,,,False,ValidValue,,,,Unspecified,,
539,bulk nuclei,,,,,False,ValidValue,,,,Unspecified,,
540,cell line,,,,,False,ValidValue,,,,Unspecified,,
541,cellHashing,,,,,False,ValidValue,,,,Unspecified,,
