Attribute,Description,Valid Values,DependsOn,Properties,Required,Parent,DependsOn Component,Source,Validation Rules
specifyPlatformVersion,"If ""other"" list the name of the platform version",,,,False,bsSeq,"bsSeq,technologyPlatformVersion = other",Sage Bionetworks,
specifyReadLengthUnits,"If ""other"" provide the unit of measure",,,,False,bsSeq,"bsSeq,readLengthUnits = other",Sage Bionetworks,
specifySampleType,"If ""other"" is selected list the type of sample",,,,False,bsSeq,bsSeqsampleType = other,Sage Bionetworks,
specifySequencingBatchSizeUnit,"If ""other"" list unit of measure",,,,False,bsSeq,"bsSeq,sequencingBatchSizeUnit = other",Sage Bionetworks,
specimenID,"Identifying string linked to a particular sample or specimen, provide by the data contributor",n/a (unique to each data contributor),,,True,bsSeq,"Biospecimen,bsSeq",Sage Bionetworks,
technologyPlatformVersion,"The specific version (application, manufacturer, model, lab, etc.) of a technology that is used to carry out a laboratory or computational experiment.","0x Visium Spatial Gene Expression,​​Affymetrix Genome-Wide Human SNP 5.0 Array,Affymetrix Genome-Wide Human SNP 6.0 Array,Affymetrix Human Gene 1.0 ST Array,Affymetrix Human Genome U133 Plus 2.0 Array,Affymetrix U133AB,Agilent 44Karray,BGISEQ-500,Bionano Irys,Cherry Imaging FACE Platform,Cherry Imaging TRACE Platform,Chromium X,EnVision 2103 Multiplate Reader,Illumina 1M,Illumina Genome Analyzer IIx,Illumina h650,Illumina HiSeq 2000,Illumina HiSeq 2500,Illumina HiSeq 3000,Illumina HiSeq 4000,Illumina HiSeq X,Illumina Human660W-Quad v1.0 BeadChip,Illumina HumanHap300,Illumina HumanMethylation450,Illumina HumanOmni1-Quadv1.0,Illumina HumanOmniExpress-24 v1.0 BeadChip,Illumina HumanOmniExpress-24 v1.2 BeadChip,Illumina Infinium MethylationEPIC BeadChip v1.0 (850k),Illumina Infinium MethylationEPIC BeadChip v2.0 (935k)Illumina MiSeq,Illumina MouseWG-6 v2.0 expression BeadChip,Illumina NextSeq 1000,Illumina NextSeq 2000,Illumina NextSeq 500,Illumina NextSeq 550,Illumina NovaSeq 6000,Illumina Omni2pt5M,Illumina Omni5M,Illumina WholeGenome DASL,Infinium HumanOmniExpressExome,LI-COR Odyssey CLx,LifeViz Infinity System,LifeViz Micro System,LTQ Orbitrap XL,Nanostring Counter,Nanostring GeoMx,Olympus DP80,Orbitrap Fusion Lumos Tribrid,PacBio RS II,PacBio Sequel II System,PacBio Sequel IIe System,Perlegen 300Karray,Promega GloMax Discover,Q Exative HF,scale,Spectramax M Series,Vectra H1 3D Imaging System,Vevo 3100 Imaging System,Zeiss LSM 980Other,OtherUnknown,Not collected,Not applicable,Not specified",,,True,bsSeq,bsSeq,Sage Bionetworks,
totalReads,Total number of sequencing reads from a library.,,,,True,bsSeq,bsSeq,Sage Bionetworks,
isStranded,Whether or not the library is stranded.,falseFalseFALSEtrueTrueTRUE,,,True,cRNAseq,scRNAseq,Sage Bionetworks,
libraryBatchID,"Library batch identifier, provided by the data contributor to Sage Bionetworks. The batch identifier(s) must be stored in a data dictionary .csv file uploaded to Synapse","Unknown,Not collected,Not applicable,Not specified",,,True,cRNAseq,scRNAseq,Sage Bionetworks,
libraryPrep,The general strategy by which the library was prepared,"amplicon,cellHashing,Chromium Single Cell 3',DNALibraryConstruction,EndItDNAEndRepairKit,KapaHyperPrep,lncRNAenrichment,methylSeq,miRNAenrichment,multiome,MULTIseq,PCRfree,polyAselection,proximity ligation,rRNAdepletion,SPLITseq,STARRSeq,SureCell,totalRNA,Other,Unknown,Not collected,Not applicable,Not specified",,,True,cRNAseq,scRNAseq,Sage Bionetworks,
libraryPreparationMethod,Method by which library was prepared,"10x,Accel-NGS 2S Plus,Accel-NGS Methyl-Seq,CEL-seq,Drop-Seq,NEBNext,NexteraXT,Omni-ATAC,sac-seq,Smart-seq1,Smart-seq2,Smart-seq4,SMRTbell,TruSeq,Ultralow Methyl-Seq,Other,Unknown,Not collected,Not applicable,Not specified",,,True,cRNAseq,scRNAseq,Sage Bionetworks,
libraryVersion,"Library Version: for example, rnaSeq 10x library version","OtherUnknown,Not collected,Not applicable,Not specified",,,True,cRNAseq,scRNAseq,Sage Bionetworks,
measurementTechnique,The measurement technique describing the assay method,"16S rRNA gene sequencing,1D Gel,2D Gel,Array,B cell receptor repertoire sequencing assay,Cell Culture,Circular Dichroism,CyTOF,Cytometric Bead Array Assay,DNA methylation profiling assay,DNA microarray,ELISA,ELISPOT,EMSA,Exome Sequencing,Flow Cytometry,Fluorescent Antibody Procedure,Hemagglutination Inhibition,HLA Typing,HPLC,Immunoblot,Immunoprecipitation,in situ Hybridization,KIR Typing,Line Probe Assay,Liquid Chromatography,Luminex xMAP,Mass Spectrometry,Meso Scale Discovery ECL,microRNA profiling assay,Microscopy,Mixed Lymphocyte Reaction,Molecular Cloning,Nanostring,Neutralizing Antibody Titer Assay,NMR,Northern Blot,O link,Other,PCR,phage display binding assay,Protein microarray,Q-PCR,Real time polymerase chain reaction assay,RNA sequencing,Rnase Protection Assay,Sequencing,SNP microarray,SOMAscan,Southern Blot,Surface Plasmon Resonance,T cell receptor repertoire sequencing assay,TCID50,Transcription profiling assay,Transcription profiling by array,Virus Neutralization,Western Blot,Whole Genome Sequencing,Yeast Two Hybrid",,,True,cRNAseq,scRNAseq,Sage Bionetworks,
platformLocation,"The name of the laboratory, facility, vendor, company, or location where the data generation platform was located, provided by the data contributor","Other,Unknown,Not collected,Not applicable,Not specified",,,True,cRNAseq,scRNAseq,Sage Bionetworks,
readLength,Number of base pairs (bp) sequenced for a read,,,,True,cRNAseq,scRNAseq,Sage Bionetworks,
readLengthUnits,The units of measurement.,"AFU,AI,AU/ml,DK units/ml,bpg/dl,g/l,gm,HAU,IU,iu/l,IU/ml,Kallikrein Inactivator Unit per Milliliter,kg,l,M,mg,mg/dl,mg/l,mg/ml,miu/ml,ml,mM,MOI,ng,ng/dl,ng/ml,ng/nl,ng/ul,nl,nM,Not Specified,NPX,optical density,PFU,PFUe,pg,pg/mg creatinine,pg/ml,pg/nl,pg/ul,pl,pM,Pound,TCID50,ug,ug/dl,ug/l,ug/ml,ug/ul,uiu/ml,ul,uM,umol/l,units/ml,other",,,True,cRNAseq,"scRNAseq,readLength",Sage Bionetworks,
readStrandOrigin,The strand from which the read originates in a strand-specific protocol,forwardreverse,,,True,cRNAseq,scRNAseq,Sage Bionetworks,
referenceTranscriptID,The ID for the transcript/gene. Either the NCBI ID or the Ensembl ID must be provided,"Unknown,Not collected,Not applicable,Not specified",,,True,cRNAseq,scRNAseq,Sage Bionetworks,
repositoryName,"The public repository name for the transcript (for example, Ensembl or NCBI Gene)","ArrayExpress,Broad Single Cell Portal,dbGAP,ENA,Ensembl,FlowRepository,GenBank,GEO,GISAID,IEDB,ImmPort,MassIVE,MetaboLights,Metabolomics Workbench,MGnify,NCBI Gene,PRIDE,SRA,UniProt,Other,Unknown,Not collected,Not applicable,Not specified",,,True,cRNAseq,scRNAseq,Sage Bionetworks,
resultUnit,The unit for the result value,"FPKM,RPKM,TPM,Not Specified",,,True,cRNAseq,scRNAseq,Sage Bionetworks,
rnaBatchID,"RNA isolation batch identifier, provided by the data contributor to Sage Bionetworks. The batch identifier(s) must be stored in a data dictionary .csv file uploaded to Synapse","Unknown,Not collected,Not applicable,Not specified",,,True,cRNAseq,scRNAseq,Sage Bionetworks,
rnaBatchSize,The number of samples,,,,False,cRNAseq,scRNAseq,Sage Bionetworks,
rnaBatchSizeUnit,The unit of measurement for number of samples in a batch,"AFU,AI,AU/ml,DK units/ml,bpg/dl,g/l,gm,HAU,IU,iu/l,IU/ml,Kallikrein Inactivator Unit per Milliliter,kg,l,M,mg,mg/dl,mg/l,mg/ml,miu/ml,ml,mM,MOI,ng,ng/dl,ng/ml,ng/nl,ng/ul,nl,nM,Not Specified,NPX,optical density,PFU,PFUe,pg,pg/mg creatinine,pg/ml,pg/nl,pg/ul,pl,pM,Pound,TCID50,ug,ug/dl,ug/l,ug/ml,ug/ul,uiu/ml,ul,uM,umol/l,units/ml,other",,,True,cRNAseq,"scRNAseq,rnaBatchSize",Sage Bionetworks,
runType,The type of run,singleEndpairedEnd,,,True,cRNAseq,scRNAseq,Sage Bionetworks,
sampleType,The type of sample collected,"Amniotic Fluid,Appendix,B cell,Basophils,Bone,Bone Marrow,Brachial lymph node,brain,Breast Milk,Bronchoalveolar Lavage Fluid,Carbohydrate,Cell culture supernatant,cell line,Cerebrospinal Fluid,Cervical lymph nodes,Colon,Colonic Lamina Propria,Convalescent Plasma,Cord blood,Dendritic cell,Dermis,DNA,Dried Blood Spot,Endotracheal aspirate,Epithelium,Feces,Fibroblast,Gastric lamina propria,Ileum,Inguinal lymph node,Jejunum,Kidney,Leukocytes,Lipid,Liver,Lung,Lung lymph node,Lymph node,Lymphocyte,Macrophage,Mesenteric lymph node,Monocyte,Mouse Ear,Nasal lavage fluid,Nasal Swab,Nasal Swab or Nose Specimen,Nasopharyngeal Swab Specimen,Negative Control,Neutrophil,NK cell,Not Specified,Optic Nerve,Organoids,Oropharyngeal Swab Specimen,Osteoblasts,Other,Pancreas,Pancreatic Stellate Cells,PBL,PBMC,Placenta,Plasma,Pooled Sample,Popliteal lymph node,Positive Control,Protein,Rectal Swab Specimen,Red Blood Cell,Saliva,Salivary Glands,Serum,Skin of body,Small intestine,Spleen,Sputum,Stomach,Synovial fluid,Synovial tissue,T cell,Thymus,Tonsil,Trachea,Tumor Tissue,Umbilical cord blood,Urinary bladder,Urine,Vagina,Whole blood",,,True,cRNAseq,scRNAseq,"Sage Bionetworks,ImmPort",
sequencingBatchID,"Sequencing batch identifier, provided by the data contributor to Sage Bionetworks. The batch identifier(s) must be stored in a data dictionary .csv file uploaded to Synapse","Unknown,Not collected,Not applicable,Not specified",,,True,cRNAseq,scRNAseq,Sage Bionetworks,
sequencingBatchSize,The number of samples,,,,True,cRNAseq,scRNAseq,Sage Bionetworks,
sequencingBatchSizeUnit,The unit of measurement for number of samples in a batch,"AFU,AI,AU/ml,DK units/ml,bpg/dl,g/l,gm,HAU,IU,iu/l,IU/ml,Kallikrein Inactivator Unit per Milliliter,kg,l,M,mg,mg/dl,mg/l,mg/ml,miu/ml,ml,mM,MOI,ng,ng/dl,ng/ml,ng/nl,ng/ul,nl,nM,Not Specified,NPX,optical density,PFU,PFUe,pg,pg/mg creatinine,pg/ml,pg/nl,pg/ul,pl,pM,Pound,TCID50,ug,ug/dl,ug/l,ug/ml,ug/ul,uiu/ml,ul,uM,umol/l,units/ml,other",,,True,cRNAseq,"scRNAseq,sequencingBatchSize",Sage Bionetworks,
specifyLibraryPrep,"If ""other"" list the name of the general strategy used to prepare the library",,,,False,cRNAseq,"RNAseq,libraryPrep = other",Sage Bionetworks,
specifyLibraryPreparationMethod,"If ""other"" list the name of the library preparation methods",,,,False,cRNAseq,"scRNAseq,libraryPreparationMethod = other",Sage Bionetworks,
specifyLibraryVersion,"If ""other"" list the name of the library version",,,,False,cRNAseq,"scRNAseq,libraryVersion = other",Sage Bionetworks,
specifyMeasurementTechnique,"If ""other"" is selected list the name of the measurement technique used",,,,False,cRNAseq,"scRNAseq,measurementTechnique = other",Sage Bionetworks,
specifyPlatformLocation,"If ""other"" list the name of the platform location",,,,False,cRNAseq,"scRNAseq,platformLocation = other",Sage Bionetworks,
specifyPlatformVersion,"If ""other"" list the name of the platform version",,,,False,cRNAseq,"scRNAseq,technologyPlatformVersion = other",Sage Bionetworks,
specifyRNABatchSizeUnit,"If ""other"" list unit of measure",,,,False,cRNAseq,"scRNAseq,rnaBatchSizeUnit = other",Sage Bionetworks,
specifyReadLengthUnits,"If ""other"" provide the unit of measure",,,,False,cRNAseq,"scRNAseq,readLengthUnits = other",Sage Bionetworks,
specifyRepositoryName,"If ""other"" list the name of the repository",,,,False,cRNAseq,"scRNAseq,repositoryName = other",Sage Bionetworks,
specifySampleType,"If ""other"" is selected list the type of sample",,,,False,cRNAseq,"scRNAseq,sampleType = other",Sage Bionetworks,
specifySequencingBatchSizeUnit,"If ""other"" list unit of measure",,,,False,cRNAseq,"scRNAseq,sequencingBatchSizeUnit = other",Sage Bionetworks,
specifyTranscriptType,"If ""other"" list the transcript type",,,,False,cRNAseq,"scRNAseq,transcriptType = other",Sage Bionetworks,
specimenID,"Identifying string linked to a particular sample or specimen, provided by the data contributor",n/a (unique to each data contributor),,,True,cRNAseq,"scRNAseq, Biospecimen",Sage Bionetworks,
technologyPlatformVersion,"The specific version (application, manufacturer, model, lab, etc.) of a technology that is used to carry out a laboratory or computational experiment.","10x Visium Spatial Gene Expression,​​Affymetrix Genome-Wide Human SNP 5.0 Array,Affymetrix Genome-Wide Human SNP 6.0 Array,Affymetrix Human Gene 1.0 ST Array,Affymetrix Human Genome U133 Plus 2.0 Array,Affymetrix U133AB,Agilent 44Karray,BGISEQ-500,Bionano Irys,Cherry Imaging FACE Platform,Cherry Imaging TRACE Platform,Chromium X,EnVision 2103 Multiplate Reader,Illumina 1M,Illumina Genome Analyzer IIx,Illumina h650,Illumina HiSeq 2000,Illumina HiSeq 2500,Illumina HiSeq 3000,Illumina HiSeq 4000,Illumina HiSeq X,Illumina Human660W-Quad v1.0 BeadChip,Illumina HumanHap300,Illumina HumanMethylation450,Illumina HumanOmni1-Quadv1.0,Illumina HumanOmniExpress-24 v1.0 BeadChip,Illumina HumanOmniExpress-24 v1.2 BeadChip,Illumina Infinium MethylationEPIC BeadChip v1.0 (850k),Illumina Infinium MethylationEPIC BeadChip v2.0 (935k)Illumina MiSeq,Illumina MouseWG-6 v2.0 expression BeadChip,Illumina NextSeq 1000,Illumina NextSeq 2000,Illumina NextSeq 500,Illumina NextSeq 550,Illumina NovaSeq 6000,Illumina Omni2pt5M,Illumina Omni5M,Illumina WholeGenome DASL,Infinium HumanOmniExpressExome,LI-COR Odyssey CLx,LifeViz Infinity System,LifeViz Micro System,LTQ Orbitrap XL,Nanostring Counter,Nanostring GeoMx,Olympus DP80,Orbitrap Fusion Lumos Tribrid,PacBio RS II,PacBio Sequel II System,PacBio Sequel IIe System,Perlegen 300Karray,Promega GloMax Discover,Q Exative HF,scale,Spectramax M Series,Vectra H1 3D Imaging System,Vevo 3100 Imaging System,Zeiss LSM 980Other,OtherUnknown,Not collected,Not applicable,Not specified",,,True,cRNAseq,scRNAseq,http://purl.obolibrary.org/obo/NCIT_C45378,
totalReads,Total number of sequencing reads from a library.,,,,True,cRNAseq,scRNAseq,Sage Bionetworks,
transcriptType,The type of transcript reported,"lincRNA,mRNA,snRNA,OtherUnknown,Not collected,Not applicable,Not specified",,,True,cRNAseq,scRNAseq,ImmPort,
valueReported,The count or gene count for the transcript,,,,True,cRNAseq,scRNAseq,Sage Bionetworks,
measurementTechnique,The measurement technique describing the assay method,"16S rRNA gene sequencing,1D Gel,2D Gel,Array,B cell receptor repertoire sequencing assay,Cell Culture,Circular Dichroism,CyTOF,Cytometric Bead Array Assay,DNA methylation profiling assay,DNA microarray,ELISA,ELISPOT,EMSA,Exome Sequencing,Flow Cytometry,Fluorescent Antibody Procedure,Hemagglutination Inhibition,HLA Typing,HPLC,Immunoblot,Immunoprecipitation,in situ Hybridization,KIR Typing,Line Probe Assay,Liquid Chromatography,Luminex xMAP,Mass Spectrometry,Meso Scale Discovery ECL,microRNA profiling assay,Microscopy,Mixed Lymphocyte Reaction,Molecular Cloning,Nanostring,Neutralizing Antibody Titer Assay,NMR,Northern Blot,O link,Other,PCR,phage display binding assay,Protein microarray,Q-PCR,Real time polymerase chain reaction assay,RNA sequencing,Rnase Protection Assay,Sequencing,SNP microarray,SOMAscan,Southern Blot,Surface Plasmon Resonance,T cell receptor repertoire sequencing assay,TCID50,Transcription profiling assay,Transcription profiling by array,Virus Neutralization,Western Blot,Whole Genome Sequencing,Yeast Two Hybrid",,,False,genotyping assay,genotyping ,"Sage Bionetworks,ImmPort",
reagentCatalogNumber,"If the assay reagent is a commercial product, enter the vendor's catalog identifier. If the reagent is a custom preparation enter 'NA'. ",,,,False,genotyping assay,"genotyping,useReagent = Yes","Sage Bionetworks,ImmPort",
reagentContact,The contact information is particularly helpful when the reagent is not from a commercial vendor.,,,,False,genotyping assay,"genotyping,useReagent = Yes","Sage Bionetworks,ImmPort",
reagentID(s),"One or more identifiers, separated by a semicolon (;). The reagent identifier(s) must be stored in a data dictionary .csv file uploaded to Synapse",n/a (unique to each data contributor),,,False,genotyping assay,"genotyping,useReagent = Yes","Sage Bionetworks,ImmPort",
reagentLotNumber,The lot number is often provided by a reagent source when the reagent is replenished over time. ,,,,False,genotyping assay,"genotyping,useReagent = Yes","Sage Bionetworks,ImmPort",
reagentManufacturer,"The manufacturer is the source of a reagent and may include commercial vendors as well as non-commercial sources (e.g., collaborating labs)",,,,False,genotyping assay,"genotyping,useReagent = Yes","Sage Bionetworks,ImmPort",
reagentName,The reagent name is an alternative to the Reagent ID,,,,False,genotyping assay,"genotyping,useReagent = Yes","Sage Bionetworks,ImmPort",
reagentWeblink,An internet address that may provide details of an assay reagent.,,,,False,genotyping assay,"genotyping,useReagent = Yes","Sage Bionetworks,ImmPort",
sampleType,The type of sample collected,"Amniotic Fluid,Appendix,B cell,Basophils,Bone,Bone Marrow,Brachial lymph node,brain,Breast Milk,Bronchoalveolar Lavage Fluid,Carbohydrate,Cell culture supernatant,cell line,Cerebrospinal Fluid,Cervical lymph nodes,Colon,Colonic Lamina Propria,Convalescent Plasma,Cord blood,Dendritic cell,Dermis,DNA,Dried Blood Spot,Endotracheal aspirate,Epithelium,Feces,Fibroblast,Gastric lamina propria,Ileum,Inguinal lymph node,Jejunum,Kidney,Leukocytes,Lipid,Liver,Lung,Lung lymph node,Lymph node,Lymphocyte,Macrophage,Mesenteric lymph node,Monocyte,Mouse Ear,Nasal lavage fluid,Nasal Swab,Nasal Swab or Nose Specimen,Nasopharyngeal Swab Specimen,Negative Control,Neutrophil,NK cell,Not Specified,Optic Nerve,Organoids,Oropharyngeal Swab Specimen,Osteoblasts,Other,Pancreas,Pancreatic Stellate Cells,PBL,PBMC,Placenta,Plasma,Pooled Sample,Popliteal lymph node,Positive Control,Protein,Rectal Swab Specimen,Red Blood Cell,Saliva,Salivary Glands,Serum,Skin of body,Small intestine,Spleen,Sputum,Stomach,Synovial fluid,Synovial tissue,T cell,Thymus,Tonsil,Trachea,Tumor Tissue,Umbilical cord blood,Urinary bladder,Urine,Vagina,Whole blood",,,True,genotyping assay,genotyping,"Sage Bionetworks,ImmPort",
specifyMeasurementTechnique,"If ""other"" is selected list the name of the measurement technique used",,,,False,genotyping assay,"genotyping,measurementTechnique = other",Sage Bionetworks,
specifySampleType,"If ""other"" is selected list the type of sample",,,,False,genotyping assay,"genotyping,sampleType = other",Sage Bionetworks,
specimenID,"Identifying string linked to a particular sample or specimen, provide by the data contributor",n/a (unique to each data contributor),,,True,genotyping assay,"Biospecimen,genotyping ",Sage Bionetworks,
treatmentAmountUnit,Unit of treatment amount,"AFU,AI,AU/ml,DK units/ml,g/dl,g/l,gm,HAU,IU,iu/l,IU/ml,Kallikrein Inactivator Unit per Milliliter,kg,l,M,mg,mg/dl,mg/l,mg/ml,miu/ml,ml,mM,MOI,ng,ng/dl,ng/ml,ng/nl,ng/ul,nl,nM,Not Specified,NPX,optical density,PFU,PFUe,pg,pg/mg creatinine,pg/ml,pg/nl,pg/ul,pl,pM,Pound,TCID50,ug,ug/dl,ug/l,ug/ml,ug/ul,uiu/ml,ul,uM,umol/l,units/ml",,,False,genotyping assay,"genotyping,useTreatment? = Yes","Sage Bionetworks,ImmPort",
treatmentAmountValue,"The Amount Value indicates how much (concentration, mass, volume) of a treatment agent was applied to a sample.",,,,False,genotyping assay,"genotyping,useTreatment? = Yes","Sage Bionetworks,ImmPort",
treatmentDurationUnit,Unit of treatment duration,"d.p.c.,Days,Hours,Minutes,Months,Not Specified,Seconds,Weeks,Years",,,False,genotyping assay,"genotyping,useTreatment? = Yes","Sage Bionetworks,ImmPort",
treatmentDurationValue,Duration of treatment,,,,,genotyping assay,,,
treatmentID(s),"One or more identifiers, separated by a semicolon (;). The treatment identifier(s) must be stored in a data dictionary .csv file uploaded to Synapse",n/a (unique to each data contributor),,,False,genotyping assay,"genotyping,useTreatment? = Yes","Sage Bionetworks,ImmPort",
treatmentName,"Treatments refer to in vitro modifications of samples. Three treatment types are supported: agent amount, duration, and temperature.  Treatment name is an alternate identifier to the Treatment ID ",,,,False,genotyping assay,"genotyping,useTreatment? = Yes","Sage Bionetworks,ImmPort",
treatmentTemperatureUnit,Unit of treatment temperature,"C,F,K,Not Specified",,,False,genotyping assay,"genotyping,useTreatment? = Yes","Sage Bionetworks,ImmPort",
treatmentTemperatureValue,Value of treatment temperature,,,,False,genotyping assay,"genotyping,useTreatment? = Yes","Sage Bionetworks,ImmPort",
useReagent?,Was a reagent applied to the sample?,"Yes,No",,,True,genotyping assay,genotyping,"Sage Bionetworks,ImmPort",
useTreatment?,Was a treatment applied to the sample?,"Yes,No",,,True,genotyping assay,genotyping ,"Sage Bionetworks,ImmPort",
measurementTechnique,The measurement technique describing the assay method,"16S rRNA gene sequencing,1D Gel,2D Gel,Array,B cell receptor repertoire sequencing assay,Cell Culture,Circular Dichroism,CyTOF,Cytometric Bead Array Assay,DNA methylation profiling assay,DNA microarray,ELISA,ELISPOT,EMSA,Exome Sequencing,Flow Cytometry,Fluorescent Antibody Procedure,Hemagglutination Inhibition,HLA Typing,HPLC,Immunoblot,Immunoprecipitation,in situ Hybridization,KIR Typing,Line Probe Assay,Liquid Chromatography,Luminex xMAP,Mass Spectrometry,Meso Scale Discovery ECL,microRNA profiling assay,Microscopy,Mixed Lymphocyte Reaction,Molecular Cloning,Nanostring,Neutralizing Antibody Titer Assay,NMR,Northern Blot,O link,Other,PCR,phage display binding assay,Protein microarray,Q-PCR,Real time polymerase chain reaction assay,RNA sequencing,Rnase Protection Assay,Sequencing,SNP microarray,SOMAscan,Southern Blot,Surface Plasmon Resonance,T cell receptor repertoire sequencing assay,TCID50,Transcription profiling assay,Transcription profiling by array,Virus Neutralization,Western Blot,Whole Genome Sequencing,Yeast Two Hybrid",,,False,other,assay_other ,"Sage Bionetworks,ImmPort",
reagentCatalogNumber,"If the assay reagent is a commercial product, enter the vendor's catalog identifier. If the reagent is a custom preparation enter 'NA'. ",,,,False,other,"assay_other,useReagent = Yes","Sage Bionetworks,ImmPort",
reagentContact,The contact information is particularly helpful when the reagent is not from a commercial vendor.,,,,False,other,"assay_other,useReagent = Yes","Sage Bionetworks,ImmPort",
reagentID(s),"One or more identifiers, separated by a semicolon (;). The reagent identifier(s) must be stored in a data dictionary .csv file uploaded to Synapse",n/a (unique to each data contributor),,,False,other,"assay_other,useReagent = Yes","Sage Bionetworks,ImmPort",
reagentLotNumber,The lot number is often provided by a reagent source when the reagent is replenished over time. ,,,,False,other,"assay_other,useReagent = Yes","Sage Bionetworks,ImmPort",
reagentManufacturer,"The manufacturer is the source of a reagent and may include commercial vendors as well as non-commercial sources (e.g., collaborating labs)",,,,False,other,"assay_other,useReagent = Yes","Sage Bionetworks,ImmPort",
reagentName,The reagent name is an alternative to the Reagent ID,,,,False,other,"assay_other,useReagent = Yes","Sage Bionetworks,ImmPort",
reagentWeblink,An internet address that may provide details of an assay reagent.,,,,False,other,"assay_other,useReagent = Yes","Sage Bionetworks,ImmPort",
sampleType,The type of sample collected,"Amniotic Fluid,Appendix,B cell,Basophils,Bone,Bone Marrow,Brachial lymph node,brain,Breast Milk,Bronchoalveolar Lavage Fluid,Carbohydrate,Cell culture supernatant,cell line,Cerebrospinal Fluid,Cervical lymph nodes,Colon,Colonic Lamina Propria,Convalescent Plasma,Cord blood,Dendritic cell,Dermis,DNA,Dried Blood Spot,Endotracheal aspirate,Epithelium,Feces,Fibroblast,Gastric lamina propria,Ileum,Inguinal lymph node,Jejunum,Kidney,Leukocytes,Lipid,Liver,Lung,Lung lymph node,Lymph node,Lymphocyte,Macrophage,Mesenteric lymph node,Monocyte,Mouse Ear,Nasal lavage fluid,Nasal Swab,Nasal Swab or Nose Specimen,Nasopharyngeal Swab Specimen,Negative Control,Neutrophil,NK cell,Not Specified,Optic Nerve,Organoids,Oropharyngeal Swab Specimen,Osteoblasts,Other,Pancreas,Pancreatic Stellate Cells,PBL,PBMC,Placenta,Plasma,Pooled Sample,Popliteal lymph node,Positive Control,Protein,Rectal Swab Specimen,Red Blood Cell,Saliva,Salivary Glands,Serum,Skin of body,Small intestine,Spleen,Sputum,Stomach,Synovial fluid,Synovial tissue,T cell,Thymus,Tonsil,Trachea,Tumor Tissue,Umbilical cord blood,Urinary bladder,Urine,Vagina,Whole blood",,,True,other,assay_other,"Sage Bionetworks,ImmPort",
specimenID,"Identifying string linked to a particular sample or specimen, provide by the data contributor",n/a (unique to each data contributor),,,True,other,"Biospecimen,assay_other ",Sage Bionetworks,
treatmentAmountUnit,Unit of treatment amount,"AFU,AI,AU/ml,DK units/ml,g/dl,g/l,gm,HAU,IU,iu/l,IU/ml,Kallikrein Inactivator Unit per Milliliter,kg,l,M,mg,mg/dl,mg/l,mg/ml,miu/ml,ml,mM,MOI,ng,ng/dl,ng/ml,ng/nl,ng/ul,nl,nM,Not Specified,NPX,optical density,PFU,PFUe,pg,pg/mg creatinine,pg/ml,pg/nl,pg/ul,pl,pM,Pound,TCID50,ug,ug/dl,ug/l,ug/ml,ug/ul,uiu/ml,ul,uM,umol/l,units/ml",,,False,other,"assay_other,useTreatment? = Yes","Sage Bionetworks,ImmPort",
treatmentAmountValue,"The Amount Value indicates how much (concentration, mass, volume) of a treatment agent was applied to a sample.",,,,False,other,"assay_other,useTreatment? = Yes","Sage Bionetworks,ImmPort",
treatmentDurationUnit,Unit of treatment duration,"d.p.c.,Days,Hours,Minutes,Months,Not Specified,Seconds,Weeks,Years",,,False,other,"assay_other,useTreatment? = Yes","Sage Bionetworks,ImmPort",
treatmentDurationValue,Duration of treatment,,,,,other,,,
treatmentID(s),"One or more identifiers, separated by a semicolon (;). The treatment identifier(s) must be stored in a data dictionary .csv file uploaded to Synapse",n/a (unique to each data contributor),,,False,other,"assay_other,useTreatment? = Yes","Sage Bionetworks,ImmPort",
treatmentName,"Treatments refer to in vitro modifications of samples. Three treatment types are supported: agent amount, duration, and temperature.  Treatment name is an alternate identifier to the Treatment ID ",,,,False,other,"assay_other,useTreatment? = Yes","Sage Bionetworks,ImmPort",
treatmentTemperatureUnit,Unit of treatment temperature,"C,F,K,Not Specified",,,False,other,assay_otheruseTreatment? = Yes,"Sage Bionetworks,ImmPort",
treatmentTemperatureValue,Value of treatment temperature,,,,False,other,"assay_other,useTreatment? = Yes","Sage Bionetworks,ImmPort",
useReagent?,Was a reagent applied to the sample?,"Yes,No",,,True,other,assay_other,"Sage Bionetworks,ImmPort",
useTreatment?,Was a treatment applied to the sample?,"Yes,No",,,True,other,assay_other,"Sage Bionetworks,ImmPort",
acquisitionMode,"The specific aspect of a mass spectrometer method by which mass ranges are selected and possibly dissociated (full scan, MSn, SIM, MRM, etc.).","Unknown,Not collected,Not applicable,Not specified",,,True,proteomics,mass spec proteomics,https://www.ebi.ac.uk/ols/ontologies/ms/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FMS_1003213,
acquisitionSoftware,The name of the acquisition software used,"Unknown,Not collected,Not applicable,Not specified",,,True,proteomics,mass spec proteomics,http://purl.obolibrary.org/obo/MS_1001455,
acquistionSoftwareVersion,The version number of software used,,,,False,proteomics,"mass spec proteomics,acquisitionSoftware","Sage Bionetworks,DSLWG",
cleavageAgents,Name(s) of the enzyme used,"Possible values are listed under the cleavage agent nameOther,Unknown,Not collected,Not applicable,Not specified",,,True,proteomics,mass spec proteomics,Proteomics Sample Metadata,
